,@Token,All Alphabetic,All Alphanumeric,Any Alphabetic,Global IDF,Global TF,Global TF-IDF,Phrase,Stopword
38389,.,False,False,False,0.001112761367074654,1296,1.4421387317287515,False,False
11477,the,True,True,True,0.011166426030997724,1287,14.371190301894071,False,True
8937,to,True,True,True,0.014533277129396446,1284,18.660727834145035,False,True
25115,i,True,True,True,0.01790800391005291,1281,22.940153008777777,False,True
34668,and,True,True,True,0.02241995454897563,1277,28.63028195904188,False,True
23897,a,True,True,True,0.023550150486830002,1276,30.049992021195084,False,True
10560,you,True,True,True,0.03490107482335805,1266,44.184760726371294,False,True
21479,in,True,True,True,0.05440500264374223,1249,67.95184830203404,False,True
16486,my,True,True,True,0.06600229211109797,1239,81.77683992565038,False,True
18337,on,True,True,True,0.0730056798488605,1233,90.016003253645,False,True
9163,me,True,True,True,0.09422216575855627,1215,114.47993139664587,False,True
15846,it,True,True,True,0.09541005799601744,1214,115.82781040716517,False,True
36929,that,True,True,True,0.10614533313437542,1205,127.90512642692238,False,True
5807,of,True,True,True,0.11094232854606549,1201,133.24173658382466,False,True
18959,with,True,True,True,0.12907446970569586,1186,153.0823210709553,False,True
26949,i'm,False,False,True,0.14006415921325538,1177,164.85551539400157,False,False
21730,for,True,True,True,0.17103776280938712,1152,197.03550275641396,False,True
35365,is,True,True,True,0.17857143549479454,1146,204.64286507703454,False,True
12889,like,True,True,True,0.18741073254358773,1139,213.46082436714642,False,False
16390,get,True,True,True,0.19885570694914947,1130,224.70694885253891,False,True
26084,got,True,True,True,0.22331966286260746,1111,248.10814544035688,False,True
33263,your,True,True,True,0.23113210997290562,1105,255.4009815200607,False,True
5660,all,True,True,True,0.23243830747353045,1104,256.6118914507776,False,True
3083,up,True,True,True,0.2416149538485065,1097,265.05160437181166,False,True
16775,don't,False,False,True,0.24952737792809218,1091,272.2343693195486,False,True
8358,but,True,True,True,0.2508503445874108,1090,273.42687560027775,False,True
18061,be,True,True,True,0.25881372289782784,1084,280.5540756212454,False,True
30587,this,True,True,True,0.2641471672008686,1080,285.2789405769381,False,True
9524,so,True,True,True,0.29520310286901646,1057,312.0296797325504,False,True
19361,when,True,True,True,0.33113414688359105,1031,341.3993054369824,False,True
7896,we,True,True,True,0.33814774864464536,1026,346.93959010940614,False,True
17326,know,True,True,True,0.3395545698588911,1025,348.04343410536336,False,False
18347,out,True,True,True,0.34944091817600426,1018,355.7308547031723,False,True
